Episode Number,Title,Viewer Rating
1,Tourist Trapped,3.4[3][4]
2,The Legend of the Gobblewonker,3.1[6][7]
3,Headhunters,2.7[9]
4,The Hand That Rocks the Mabel,3.0[11]
5,The Inconveniencing,3.6[13][14]
6,Dipper vs. Manliness,3.1[16]
7,Double Dipper,4.2[18][19]
8,Irrational Treasure,3.9[21][22]
9,The Time Traveler's Pig,4.1[23]
10,Fight Fighters,2.9[25]
11,Little Dipper,2.6[26]
12,Summerween,3.5[28]
13,Boss Mabel,3.5[30]
14,Bottomless Pit!,3.1[32]
15,The Deep End,4.5[34][35]
16,Carpet Diem,3.4[37]
17,Boyz Crazy,3.2[39]
18,Land Before Swine,3.5[41]
19,Dreamscaperers,2.7[43]
20,Gideon Rises,3.2[45]
